"Data file recorded 2020/12/8  11:40:17"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
 83.000,  3.908,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 63.000, 20.000, 29.000,196.360, 86.000,-21.000, 21.000,-965.000
 84.000,  4.009,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 64.000, 20.000, 29.000,196.290, 86.000,-14.000,-17.000,-1036.000
 85.000,  4.112,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 64.000, 20.000, 29.000,196.290, 86.000,-37.000, 14.000,-1010.000
 86.000,  4.215,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 65.000, 20.000, 29.000,196.320, 86.000,-24.000, 23.000,-969.000
 87.000,  4.316,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 66.000, 20.000, 29.000,196.350, 86.000,-30.000,-23.000,-1046.000
 88.000,  4.367,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 65.000, 20.000, 29.000,196.350, 86.000,-21.000,  2.000,-997.000
 89.000,  4.469,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 66.000, 20.000, 29.000,196.370, 86.000,-36.000,  2.000,-991.000
 90.000,  4.578,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 66.000, 20.000, 29.000,196.380, 86.000,-41.000, -9.000,-1030.000
 91.000,  4.676,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 66.000, 20.000, 29.000,196.370, 87.000,-24.000, 25.000,-994.000
 92.000,  4.775,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 66.000, 20.000, 29.000,196.370, 87.000,-17.000, 23.000,-966.000
 93.000,  4.877,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 67.000, 20.000, 29.000,196.330, 87.000,-49.000, 42.000,-999.000
 94.000,  4.982,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 67.000, 20.000, 29.000,196.380, 87.000,-14.000,  7.000,-989.000
 95.000,  5.081,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 66.000, 20.000, 29.000,196.320, 87.000,-26.000,-22.000,-1014.000
 96.000,  5.183,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 66.000, 20.000, 29.000,196.300, 87.000,-10.000,  2.000,-971.000
 97.000,  5.285,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 66.000, 20.000, 29.000,196.270, 87.000,-26.000, 12.000,-1014.000
 98.000,  5.387,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 67.000, 20.000, 29.000,196.350, 87.000,-21.000, 15.000,-979.000
 99.000,  5.489,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 67.000, 20.000, 29.000,196.430, 87.000,-34.000, 17.000,-996.000
100.000,  5.599,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 67.000, 20.000, 29.000,196.370, 87.000,-36.000, 30.000,-966.000
101.000,  5.693,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 67.000, 20.000, 29.000,196.380, 88.000, -8.000,-37.000,-1002.000
102.000,  5.796,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 68.000, 20.000, 29.000,196.380, 88.000,-24.000, 26.000,-969.000
